Hotel Name,Advertised Price,Total Price
WE LOVE NYC: Romantic and super clean private room 25 min. from Times Square,The price is $55,$100 total
Days Inn by Wyndham Wayne,The price is $70,$80 total
Americana Motel,The price is $70,$80 total
Knights Inn South Hackensack,The price is $70,$82 total
Bowery Grand Hotel,The price is $71,$85 total
Travelodge by Wyndham Avenel Woodbridge,The price is $72,$83 total
Days Inn by Wyndham Iselin / Woodbridge,The price is $73,$84 total
Travelodge by Wyndham South Hackensack,The price is $76,$90 total
Tides Motor Inn at Stehli Beach,The price is $79,$88 total
"Luxury Private Room in Westfield, 1 hour to NYC",The price is $79,$164 total
⭐️ Best Studio/RV To Visit NYC✈️EWR Airport-Free Parking,The price is $79,$251 total
Canal Loft Hotel,The price is $81,$126 total
NY Moore Hostel,The price is $84,$104 total
Rodeway Inn Capri,The price is $85,$100 total
Travelodge by Wyndham Jersey City,The price is $89,$104 total
Horizon Inn,The price is $90,$103 total
Super 8 by Wyndham Rahway/Newark,The price is $90,$103 total
Quality Inn Wayne - Fairfield Area,The price is $92,$105 total
Kamway Lodge & Travel,The price is $92,$113 total
Super 8 by Wyndham North Bergen NJ/NYC Area,The price is $93,$109 total
Ramada by Wyndham East Orange,The price is $93,$104 total
Best Western Queens Court Hotel,The price is $93,$111 total
Super 8 by Wyndham Meadowlands,The price is $95,$112 total
Newly Constructed Basement Two Bedroom Apartment,The price is $95,$171 total
Days Inn by Wyndham Nanuet / Spring Valley,The price is $95,$106 total
Howard Johnson by Wyndham North Bergen,The price is $98,$115 total
Charming Apartment in Quiet Neighborhood,The price is $98,$158 total
Hotel Executive Suites,The price is $98,$112 total
Red Roof Inn PLUS+ Newark Liberty Airport - Carteret,The price is $98,$113 total
The Central Park North,The price is $99,$117 total
Americas Best Value Inn Avenel Woodbridge,The price is $99,$113 total
Swan Motel,The price is $99,$113 total
Luxe Autos Exotic Rentals,The price is $99,$131 total
Howard Johnson Hotel by Wyndham Newark Airport,The price is $99,$114 total
Little Cottage w/priv entrance & bath.Close to NYC,The price is $99,$207 total
Extended Stay America Suites Ramsey Upper Saddle River,The price is $100,$114 total
Haiban Inn,The price is $100,$117 total
The Parkway-with king bed & private bathroom/Private room,The price is $100,$154 total
La Quinta Inn & Suites by Wyndham Fairfield NJ,The price is $101,$116 total
Best Western The Inn At Ramsey,The price is $101,$116 total
Days Hotel by Wyndham North Bergen /NYC Area,The price is $101,$119 total
"Avion Inn Near LGA Airport, Ascend Hotel Collection",The price is $102,$121 total
Hotel Richland LES,The price is $103,$142 total
"Motel 6 Elizabeth, NJ - Newark Liberty Intl Airport",The price is $104,$124 total
Off Soho Suites Hotel,The price is $106,$127 total
Rockaway Hotel Brooklyn,The price is $108,$127 total
The Vue Hotel Express,The price is $108,$135 total
Super 8 by Wyndham Long Island City LGA Hotel,The price is $109,$128 total
Rodeway Inn Meadowlands,The price is $109,$128 total
Queens Hotel,The price is $109,$130 total
Ramada by Wyndham Rochelle Park Near Paramus,The price is $109,$125 total
Days Inn by Wyndham Jersey City / NYC Area,The price is $110,$128 total
SpringHill Suites by Marriott Woodbridge,The price is $110,$126 total
Lovely 1Bedroom - Minutes to EWR and NYC,The price is $110,$202 total
Grandview Hotel New York,The price is $110,$130 total
Days Inn by Wyndham Ridgefield NJ,The price is $111,$130 total
Red Roof Inn PLUS+ Secaucus - Meadowlands - NYC,The price is $112,$132 total
Quality Inn Spring Valley - Nanuet,The price is $113,$126 total
Crown Inn Motel,The price is $114,$131 total
The Park Ave North,The price is $115,$135 total
Rest Inn - Elizabeth,The price is $115,$132 total
Lovely 1 bedroom rental unit.,The price is $115,$181 total
Hampton Inn Ridgefield Park,The price is $116,$133 total
Paramount Times Square,The price is $116,$177 total
Chelsea Inn,The price is $117,$207 total
The Manhattan at Times Square Hotel,The price is $118,$179 total
Highbridge Hotel,The price is $119,$140 total
Rodeway Inn,The price is $119,$144 total
Radio Hotel,The price is $119,$140 total
Hotel Mulberry,The price is $119,$140 total
Rodeway Inn,The price is $119,$133 total
Knights Inn Brooklyn Sunset Park,The price is $119,$144 total
Asiatic Hotel by LaGuardia Airport,The price is $119,$140 total
Tappan Zee Hotel,The price is $120,$134 total
Howard Johnson by Wyndham Clifton NJ,The price is $120,$138 total
Private room with its own private bathroom,The price is $120,$197 total
Cozy Exotic Studio Retreat,The price is $120,$189 total
Super Lake Hotel,The price is $121,$143 total
Leon Hotel LES,The price is $122,$168 total
Best Western Brooklyn-Coney Island Inn,The price is $122,$144 total
Hotel Mint JFK Airport,The price is $123,$145 total
Hudson Plaza Motel Bayonne / Jersey City,The price is $125,$139 total
Beautiful 1 Bedroom Apartment Entire Unit,The price is $125,$208 total
Paris Suites Hotel,The price is $125,$147 total
Flushing Central Hotel,The price is $125,$147 total
Coliseum Inn & Suites - Garden City Long Island,The price is $125,$140 total
The Floral Park Motor Lodge,The price is $126,$144 total
"Holiday Inn Express Hotel & Suites Meadowlands Area, an IHG Hotel",The price is $126,$148 total
Comfort Inn Paramus,The price is $127,$145 total
DoubleTree by Hilton New York Times Square West,The price is $127,$149 total
Ramada by Wyndham Staten Island,The price is $127,$149 total
"Home2 Suites by Hilton Wayne, NJ",The price is $127,$145 total
DoubleTree by Hilton Fort Lee - George Washington Bridge,The price is $127,$146 total
Quality Suites NYC Gateway,The price is $128,$150 total
Extended Stay America Suites Meadowlands Rutherford,The price is $128,$151 total
Hyatt Place Fair Lawn Paramus,The price is $128,$147 total
Rodeway Inn,The price is $129,$148 total
Union Hotel,The price is $129,$154 total
Hampton Inn Linden,The price is $129,$148 total
TRYP by Wyndham Newark Downtown,The price is $130,$149 total
Red Roof Inn Fairfield,The price is $130,$149 total
Townhouse Inn & Suites,The price is $130,$149 total
Studio 6 min to NYC station,The price is $130,$176 total
Royal Hotel Bronx,The price is $130,$153 total
Hampton Inn & Suites Newark Airport Elizabeth,The price is $131,$154 total
Hilton Garden Inn Secaucus/Meadowlands,The price is $131,$154 total
Hilton Woodcliff Lake,The price is $132,$151 total
Best Western Plus Newark Airport West,The price is $133,$153 total
Extended Stay America Suites Newark Woodbridge,The price is $133,$152 total
Extended Stay America Suites Elizabeth Newark Airport,The price is $133,$156 total
Hidden Oasis w/B&B option....,The price is $133,$168 total
Residence Inn by Marriott Saddle River,The price is $134,$154 total
Comfort Inn Manhattan - Midtown West,The price is $134,$157 total
Comfort Inn & Suites LaGuardia Airport,The price is $134,$157 total
Quality Inn near Sunset Park,The price is $134,$158 total
Steinway Hotel,The price is $135,$158 total
Days Inn by Wyndham Elmsford / White Plains,The price is $135,$158 total
A quiet apartment near to everything with free parking,The price is $135,$195 total
DoubleTree by Hilton New York Downtown,The price is $135,$159 total
Best Western Jamaica Inn,The price is $136,$160 total
Hilton Garden Inn New York / Staten Island,The price is $136,$160 total
The Vue Inn Brooklyn,The price is $136,$160 total
Mitchell Executive Hotel,The price is $137,$157 total
Hampton Inn Woodbridge,The price is $138,$159 total
Hampton Inn & Suites Staten Island,The price is $139,$163 total
Comfort Suites at Woodbridge,The price is $139,$159 total
SoHo 54 Hotel,The price is $139,$197 total
Ardsley Acres Hotel Westchester,The price is $139,$159 total
Meadowlands Plaza Hotel,The price is $139,$163 total
Courtyard by Marriott Paramus,The price is $139,$159 total
The Solita Soho Hotel,The price is $140,$187 total
The Ridge Hotel,The price is $140,$233 total
Courtyard by Marriott New York Downtown Manhattan/Financial District,The price is $140,$164 total
Rodeway Inn Jersey City near Hoboken,The price is $140,$163 total
L 3 Downtown Newark Guesthouse,The price is $140,$184 total
Motel House,The price is $140,$176 total
Perfect near NYC,The price is $140,$196 total
Ramada by Wyndham Rockville Centre,The price is $140,$157 total
Extended Stay America Suites Secaucus Meadowlands,The price is $142,$168 total
Ramada by Wyndham Bronx,The price is $143,$167 total
Orchard Street Hotel,The price is $144,$183 total
TRYP by Wyndham New York City Times Square / Midtown,The price is $144,$191 total
The Lex NYC,The price is $144,$202 total
Comfort Suites Newark - Harrison,The price is $144,$165 total
Hampton Inn & Suites Teaneck Glenpointe,The price is $144,$165 total
"Holiday Inn Hasbrouck Heights-Meadowlands, an IHG Hotel",The price is $144,$165 total
Courtyard by Marriott Newark Liberty International Airport,The price is $144,$166 total
Royal Regency Hotel,The price is $144,$175 total
Ramada by Wyndham Jersey City,The price is $146,$170 total
Hampton Inn Paramus,The price is $146,$168 total
Best Western Premier Empire State Hotel,The price is $148,$174 total
King Hotel Brooklyn Sunset Park,The price is $149,$178 total
The Shoreham Hotel,The price is $149,$186 total
Sonesta Simply Suites Nanuet,The price is $149,$166 total
Hotel Mimosa,The price is $150,$176 total
Latisha house,The price is $150,$176 total
Latisha luxury place ,The price is $150,$276 total
Hilton Garden Inn Wayne,The price is $151,$173 total
Marriott Saddle Brook,The price is $152,$174 total
Fairfield Inn & Suites Newark Liberty International Airport,The price is $152,$175 total
Casa Azul Hotel Blu JFK,The price is $152,$190 total
Umbrella Hotel Brooklyn,The price is $152,$178 total
La Quinta Inn & Suites by Wyndham Secaucus Meadowlands,The price is $152,$179 total
Days Inn by Wyndham Brooklyn Marine Park,The price is $152,$182 total
"The Westfield Inn, BW Signature Collection",The price is $152,$170 total
Residence Inn by Marriott New York Downtown Manhattan/Financial District,The price is $152,$178 total
La Quinta Inn & Suites by Wyndham New York City Central Park,The price is $153,$212 total
DoubleTree by Hilton Fairfield Hotel & Suites,The price is $155,$177 total
Travelodge by Wyndham Manhasset,The price is $156,$174 total
"Hotel Indigo - NYC Downtown - Wall Street, an IHG Hotel",The price is $157,$214 total
"Holiday Inn Express Newark Airport Elizabeth, an IHG Hotel",The price is $157,$180 total
Freehand New York,The price is $158,$219 total
"Holiday Inn Express Ramsey-Mahwah, an IHG Hotel",The price is $158,$181 total
Quality Inn JFK Airport Rockaway Blvd,The price is $158,$188 total
Wyndham Garden North Bergen Near Secaucus,The price is $158,$186 total
Red Carpet Inn Elmwood Park,The price is $158,$182 total
Midtown West Hotel,The price is $159,$201 total
The Gallivant Times Square,The price is $159,$203 total
Pod 39,The price is $159,$209 total
The Westfield Inn | An elegant boutique hotel at New Jersey,The price is $160,$202 total
DoubleTree by Hilton Hotel New York City - Chelsea,The price is $161,$188 total
La Quinta Inn & Suites by Wyndham Times Square South,The price is $161,$210 total
Hilton Hasbrouck Heights/Meadowlands,The price is $161,$184 total
Fairfield Inn & Suites by Marriott Woodbridge,The price is $161,$185 total
Courtyard by Marriott Wayne Fairfield,The price is $161,$185 total
Hampton Inn Manhattan-Seaport-Financial District,The price is $161,$188 total
Moxy NYC Times Square,The price is $161,$222 total
Fairfield Inn & Suites by Marriott Paramus,The price is $161,$185 total
Extended Stay America Suites Meadowlands East Rutherford,The price is $161,$190 total
Pestana CR7 Times Square,The price is $162,$214 total
"Holiday Inn Westbury - Long Island, an IHG Hotel",The price is $162,$181 total
YMCA West Side,The price is $162,$162 total
SpringHill Suites by Marriott Newark Liberty International,The price is $163,$187 total
Fairfield Inn & Suites by Marriott New York Staten Island,The price is $164,$192 total
"Park South Hotel, part of JdV by Hyatt",The price is $166,$229 total
Wheeler Hotel,The price is $167,$195 total
YOTEL New York Times Square,The price is $168,$239 total
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,The price is $168,$197 total
Pod Times Square,The price is $169,$220 total
Heritage Hotel,The price is $169,$197 total
Sheraton Tribeca New York Hotel,The price is $169,$197 total
Hotel Riu Plaza New York Times Square,The price is $169,$230 total
NYC NJ Romantic And Cozy Hideaway,The price is $169,$285 total
Airway Inn at LaGuardia,The price is $169,$197 total
Best Western Plus Fairfield Executive Inn,The price is $169,$194 total
Four Points By Sheraton New York Downtown,The price is $169,$198 total
The Gatsby Hotel,The price is $169,$230 total
Home2 Suites by Hilton Newark Airport,The price is $169,$195 total
Homewood Suites by Hilton Edison Woodbridge,The price is $169,$194 total
"Club Quarters Hotel, Grand Central",The price is $170,$199 total
Hotel Boutique at Grand Central,The price is $170,$199 total
"Hotel Indigo NYC Financial District, an IHG Hotel",The price is $170,$201 total
"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",The price is $170,$201 total
Element New York Times Square West,The price is $170,$199 total
Millennium Downtown New York,The price is $170,$234 total
Broadway Plaza Hotel,The price is $170,$210 total
Henn na Hotel New York,The price is $170,$222 total
The Brooklyn,The price is $170,$221 total
"Holiday Inn Express Woodbridge, an IHG Hotel",The price is $170,$195 total
"Candlewood Suites Secaucus - Meadowlands, an IHG Hotel",The price is $170,$200 total
"Crowne Plaza Englewood, an IHG Hotel",The price is $171,$195 total
The Allen Hotel,The price is $171,$228 total
"Hotel Nyack, a JdV by Hyatt Hotel",The price is $172,$247 total
Hotel 365 Bronx,The price is $172,$201 total
Hampton Inn Nanuet,The price is $174,$194 total
Luxuriously Comfortable Suite,The price is $175,$200 total
Millennium Hilton New York One UN Plaza,The price is $175,$235 total
RIU Plaza Manhattan Times Square,The price is $178,$241 total
Fairfield Inn New York Manhattan/Financial District,The price is $178,$207 total
Hampton Inn White Plains/Tarrytown,The price is $178,$209 total
"Brooklyn Vybe Hotel, Ascend Hotel Collection",The price is $178,$215 total
HGU New York,The price is $178,$208 total
"Club Quarters, Times Square - Midtown",The price is $178,$208 total
Redford Hotel,The price is $179,$224 total
Hotel Edison Times Square,The price is $179,$249 total
The New Yorker A Wyndham Hotel,The price is $179,$242 total
"Hotel Indigo Lower East Side New York, an IHG Hotel",The price is $179,$247 total
Best Western Paramus Hotel & Suites,The price is $179,$205 total
Sleepy Hollow Hotel,The price is $179,$205 total
Artezen Hotel,The price is $179,$225 total
Ameritania Hotel at Times Square,The price is $179,$232 total
Moderne Hotel,The price is $179,$232 total
"Holiday Inn New York City - Times Square, an IHG Hotel",The price is $179,$211 total
Westminster Hotel,The price is $179,$205 total
Cozy Nights 2Bedroom,The price is $180,$290 total
Best Western Fort Lee,The price is $181,$209 total
Doubletree by Hilton New York Times Square South,The price is $183,$214 total
Hyatt Grand Central New York,The price is $183,$259 total
The Gotham Hotel,The price is $183,$241 total
The Shelburne Sonesta New York,The price is $184,$259 total
"Crowne Plaza Newark Airport, an IHG Hotel",The price is $184,$211 total
Wingate by Wyndham New York Midtown South/5th Ave,The price is $184,$215 total
The Flat NYC,The price is $185,$215 total
Hyatt Herald Square New York,The price is $185,$238 total
3 West Club,The price is $185,$216 total
Hotel Pergola JFK Airport,The price is $186,$217 total
SpringHill Suites by Marriott New York Manhattan/Times Square South,The price is $186,$219 total
Cambria Hotel New York - Chelsea,The price is $186,$217 total
"The L Hotel, Ascend Hotel Collection",The price is $186,$217 total
"Holiday Inn Newark International Airport, an IHG Hotel",The price is $188,$217 total
Delta Hotels by Marriott Woodbridge,The price is $188,$216 total
Wyndham Garden Chinatown,The price is $189,$220 total
Pestana Park Avenue,The price is $189,$243 total
"Holiday Inn Express Manhattan Times Square South, an IHG Hotel",The price is $189,$220 total
La Quinta Inn & Suites by Wyndham Clifton/Rutherford,The price is $189,$217 total
Margaritaville Resort Times Square,The price is $189,$278 total
